FOR EACH PCB,,,,,,,,,
,Item,Serial No.,Description,Qty Needed,Qty to Buy,Price per Unit,Provider,URL,NOTES
,PTR08060W,296-22673-ND,DC Converter 1 Output 0.6 ~ 5.5 V 6A,1,,9.36 ,digikey,http://www.digikey.com/product-detail/en/texas-instruments/PTR08060WVD/296-22673-5-ND/1698955,
,DMG2305UX,DMG2305UX-13DICT-ND,"P-Channel 20V 4.2A 1.4W, SOT-23",1,,0.42 ,digikey,https://www.digikey.com/product-detail/en/diodes-incorporated/DMG2305UX-13/DMG2305UX-13DICT-ND/4251589,
,MMDT5401,MMDT5401-FDICT-ND,"Bipolar (BJT) Transistor,2 PNP (Dual) 150V 200mA 300MHz 200mW, SOT-363",1,,0.49 ,digikey,https://www.digikey.com/product-detail/en/diodes-incorporated/MMDT5401-7-F/MMDT5401-FDICT-ND/768883,
,CAT24C32WI-GT3,CAT24C32WI-GT3CT-ND,IC EEPROM 32KBIT 400KHZ 8SOIC,1,,0.23 ,digikey,https://www.digikey.com/product-detail/en/on-semiconductor/CAT24C32WI-GT3/CAT24C32WI-GT3CT-ND/1631159,
,ATMEGA32U4,ATMEGA32U4-AU-ND,AVR 8-Bit 16MHz 32KB (16K x 16) FLASH 44-TQFP (10x10),1,,4.12 ,digikey,https://www.digikey.com/product-detail/en/microchip-technology/ATMEGA32U4-AU/ATMEGA32U4-AU-ND/1914602,
,CRYSTAL,535-9122-1-ND,"16MHz ±20ppm Crystal 18pF 50 Ohm, 4-SMD",1,,0.69 ,digikey,https://www.digikey.com/product-detail/en/abracon-llc/ABM3B-16.000MHZ-B2-T/535-9122-1-ND/675639,
,BSS138BKS,1727-6478-1-ND,"2 N-Channel 60V 320mA 445mW, 6-TSSOP",2,,0.42 ,digikey,"https://www.digikey.com/product-detail/en/nxp-usa-inc/BSS138BKS,115/568-8392-1-ND/2763926",
,ADG3304,ADG3304BRUZ-REEL7CT-ND,Voltage Level Translator Bidirectional 1 Circuit 4 Channel 50Mbps 14-TSSOP,1,,2.89 ,digikey,https://www.digikey.com/product-detail/en/analog-devices-inc/ADG3304BRUZ-REEL7/ADG3304BRUZ-REEL7CT-ND/3314122,
,IPD90P03P4L,IPD90P03P4L04ATMA1CT-ND,"P-Channel 30V 90A 137W, PG-TO252-3",1,,1.63 ,digikey,https://www.digikey.com/product-detail/en/infineon-technologies/IPD90P03P4L04ATMA1/IPD90P03P4L04ATMA1CT-ND/2269941,
,BTN8982TA,BTN8982TAAUMA1INCT-ND,"Half Bridge Driver DC Motors, PG-TO263-7",3,,5.66 ,digikey,https://www.digikey.com/product-detail/en/infineon-technologies/BTN8982TAAUMA1/BTN8982TAAUMA1INCT-ND/4772019,
,,,,,,,,,
BATTERY,"Molex Ultra-Fit 172287, PCB male, 2 circuit",WM11701-ND,"2 Positions Header Connector 0.138"" (3.50mm) Through Hole Tin",1,,0.75 ,digikey,https://www.digikey.com/product-detail/en/molex-llc/1722871102/WM11701-ND/5360166,
,"Molex Ultra-Fit 172256, Housing Female, 2 circuits",WM11608-ND,"2 Position Rectangular Housing Connector Receptacle Black 0.138"" (3.50mm)",1,,0.32 ,digikey,http://www.digikey.com/product-detail/en/molex-llc/1722561102/WM11608-ND/5291233,
,"Molex Ultra-Fit 172264, TPA for Female Housing, 2 circuits",WM11653-ND,ULTRAFIT TPA V0 BLK 02 CKT,1,,0.20 ,digikey,http://www.digikey.com/product-detail/en/molex-llc/1722641002/WM11653-ND/5291282,
,,,,,,,,,
BLDC M,"Molex Ultra-Fit 172287, Housing Female, 3 circuits",WM11702-ND,"3 Positions Header Connector 0.138"" (3.50mm) Through Hole Tin",1,,0.82 ,digikey,https://www.digikey.com/product-detail/en/molex-llc/1722871103/WM11702-ND/5360167,
,"Molex Ultra-Fit 172256, PCB male, 3 circuit, right angle",WM11609-ND,"3 Position Rectangular Housing Connector Receptacle Black 0.138"" (3.50mm)",1,,0.39 ,digikey,https://www.digikey.com/product-detail/en/molex-llc/1722561103/WM11609-ND/5291234,
,"Molex Ultra-Fit 172264, TPA for Female Housing, 3 circuits",WM11661-ND,ULTRAFIT TPA V0 NAT 03 CKT,1,,0.20 ,digikey,https://www.digikey.com/product-detail/en/molex-llc/1722642003/WM11661-ND/5291290,
,Hall sensors,US1881LUA-AAA-000-BU-ND,Digital Switch Latch Open Drain Hall Effect TO-92UA,3,,0.95 ,digikey,https://www.digikey.com/product-detail/en/melexis-technologies-nv/US1881LUA-AAA-000-BU/US1881LUA-AAA-000-BU-ND/431868,
,,,,,,,,,
"IMU, ENC","Molex KK 6373, PCB Male, 4 circuit, vertical",WM4202-ND,"4 Positions Header Connector 0.100"" (2.54mm) Through Hole Tin",2,,0.27 ,digikey,http://www.digikey.com/product-detail/en/molex-llc/0022232041/WM4202-ND/26671,
,"Molex KK 6471, Housing Female, 4 circuits",WM2614-ND,"4 Position Rectangular Housing Connector Receptacle Natural 0.100"" (2.54mm)",2,,0.40 ,digikey,http://www.digikey.com/product-detail/en/molex-llc/0022012045/WM2614-ND/1634859,
,,,,,,,,,
"HALL, SERVO","Molex KK 6373, PCB Male, 3 circuit, vertical",WM4201-ND,"3 Positions Header Connector 0.100"" (2.54mm) Through Hole Tin",4,,0.23 ,digikey,http://www.digikey.com/product-detail/en/molex-llc/0022232031/WM4201-ND/26669,
,"Molex KK 6471, Housing Female, 3 circuits",WM2626-ND,"3 Position Rectangular Housing Connector Receptacle Natural 0.100"" (2.54mm)",4,,0.34 ,digikey,http://www.digikey.com/product-detail/en/molex-llc/0022012035/WM2626-ND/304070,
,,,,,,,,,
RPI,"2x20 Pinhead 0.1"" Female",S5690-ND,"40 Position Header Connector 0.100"" (2.54mm) Surface Mount Tin",1,,4.07 ,digikey,https://www.digikey.com/product-detail/en/sullins-connector-solutions/NPTC202KFMS-RC/S5690-ND/776149,
,Raspberry Pi 3 Model B,1690-1000-ND,"BCM2837 Raspberry Pi 3 Model B - MPU ARM庐 Cortex庐-A53, VideoCore Embedded Evaluation Board",1,,43.75,digikey,https://www.digikey.com/product-detail/en/raspberry-pi/RASPBERRY-PI-3/1690-1000-ND/6152799,
,,,,,,,,,
RESISTOR,,,,,,,,,
,R22,P22.0FCT-ND,22 OHM 1% 1/4W 1206,2,,0.10 ,digikey,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv1=2182&FV=ffe00034%2Cffec373d%2C80004%2Cc0001%2C1c0002%2C400007%2C1f140000&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,
,R267,P267FCT-ND,267 OHM 1% 1/4W 1206,1,,0.10 ,digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-8ENF2670V/P267FCT-ND/89414,
,R0.51K,P510FCT-ND,510 OHM 1% 1/4W 1206,4,,0.10 ,digikey,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv3=1&FV=fffc000a%2C80004%2C1c0002%2C142c09a7%2Cffe00034%2C40242&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,
,R1K,P1.00KFCT-ND,1K OHM 1% 1/4W 1206,3,,0.10 ,digikey,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv3=1&FV=fffc000a%2C80004%2C1c0002%2C142c09a7%2Cffe00034%2C40936&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,
,R3.9K,P3.90KFCT-ND,3.9K OHM 1% 1/4W 1206,9,,0.10 ,digikey,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv1=1040&FV=ffe00034%2Cfffc000a%2Cc0001%2C1c0002%2C400007%2C1f140000&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,
,R10K,P10.0KFCT-ND,10K OHM 1% 1/4W 1206,12,,0.10 ,digikey,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv3=1&FV=fffc000a%2C40070%2C1c0002%2C142c09a7%2Cffe00034%2C80004&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,
,R47K,P47.0KFCT-ND,47K OHM 1% 1/4W 1206,1,,0.10 ,digikey,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv1=1062&FV=ffe00034%2Cfffc000a%2Cc0001%2C1c0002%2C400007%2C1f140000&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,
,R1M,P1.00MFCT-ND,1M OHM 1% 1/4W 1206,1,,0.10 ,digikey,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv1=37&FV=ffe00034%2Cfffc000a%2Cc0001%2C1c0002%2C400007%2C1f140000&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,
,,,,,,,,,
CAPACITOR,,,,,,,,,
,22p,399-1197-1-ND,22pF ±5% 50V C0G 1206 (3216 Metric),2,,0.21 ,digikey,https://www.digikey.com/product-detail/en/kemet/C1206C220J5GACTU/399-1197-1-ND/411472,crystal capacitor
,1n,399-8131-1-ND,1000pF ±5% 50V 1206 (3216 Metric),3,,0.14 ,digikey,https://www.digikey.com/product-detail/en/kemet/C1206C102J5RACTU/399-8131-1-ND/3471854,BLDC current sensing
,220n,399-1252-1-ND,0.22uF ±5% 50V 1206 (3216 Metric),6,,0.38 ,digikey,https://www.digikey.com/product-detail/en/kemet/C1206C224J5RACTU/399-1252-1-ND/411527,BLDC output capacitor
,0.1u,399-1248-1-ND,0.1uF ±20% 50V 1206 (3216 Metric),23,,0.12 ,digikey,https://www.digikey.com/product-detail/en/kemet/C1206C104M5RACTU/399-1248-1-ND/411523,
,1u,399-8148-1-ND,1uF ±20% 25V 1206 (3216 Metric),3,,0.18 ,digikey,https://www.digikey.com/product-detail/en/kemet/C1206C105M3RACTU/399-8148-1-ND/3471871,
,10u,1276-2720-1-ND,10uF ±10% 25V 1206 (3216 Metric),1,,0.27 ,digikey,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL31A106KACLNNC/1276-2720-1-ND/3890806,
,220u,399-6113-ND,CAP ALUM 220UF 20% 35V RADIAL,2,,0.50 ,digikey,https://www.digikey.com/product-detail/en/kemet/ESW227M035AG4AA/399-6113-ND/2712539,voltage regulation
,1000u,P15144-ND,CAP ALUM 1000UF 20% 25V RADIAL,1,,1.04 ,digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEU-HD1E102/P15144-ND/2796093,motor controller
,,,,,,,,,
ZENER,10V,1727-4959-1-ND,Zener Diode 10V 500mW ±5% SOD80C,1,,0.19 ,digikey,"https://www.digikey.com/product-detail/en/nexperia-usa-inc/BZV55-C10,115/1727-4959-1-ND/2531540",
,33V,SMAZ33-FDICT-ND,"Zener Diode 33V 1W ±5%, DO-214AC, SMA",1,,0.51 ,digikey,https://www.digikey.com/product-detail/en/diodes-incorporated/SMAZ33-13-F/SMAZ33-FDICT-ND/804911,
,,,,,,,,,
RESET,Switch reset button,SW1256CT-ND,"Tactile Switch SPST-NO Side Actuated Surface Mount, Right Angle",1,,1.00 ,digikey,https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/B3U-3000P-B/SW1256CT-ND/2748498,
,"DIP Switch, 2 position",SW1433-ND,Dip Switch SPST 2 Position Surface Mount Slide (Standard) Actuator 25mA 24VDC,1,,2.40 ,digikey,https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/A6HF-2102/SW1433-ND/2754645,
,,,,,,,,,
LED,LED,MSL0201RGBW1CT-ND,"Red, Green, Blue (RGB) 624nm Red, 527nm Green, 470nm Blue LED Indication - Discrete 2.1V Red, 3V Green, 2.9V Blue 4-SMD, No Lead",1,,1.76 ,digikey,https://www.digikey.com/product-detail/en/rohm-semiconductor/MSL0201RGBW1/MSL0201RGBW1CT-ND/2791603,
,,,,,,,,,
micro USB,micro USB 2.0,609-4050-1-ND,"USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole",1,,0.73 ,digikey,https://www.digikey.com/product-detail/en/amphenol-fci/10103594-0001LF/609-4050-1-ND/2350357,
,,,,,,,,,
,,,,,,,,,
,"Molex KK 4809, Contact for Female Housing, 1 circuit",WM2623-ND,Contact Crimp Non-Gendered 22-30 AWG Tin,20,,0.17 ,digikey,http://www.digikey.com/product-detail/en/molex-llc/0008500032/WM2623-ND/1634868,
,"Molex Ultra-Fit 172253, Contact for Female Housing, 16-18 AWG, 1 circuit",WM11559CT-ND,Contact Crimp Socket 16-18 AWG Tin,3,,0.31 ,digikey,http://www.digikey.com/product-detail/en/molex-llc/1722533023/WM11559CT-ND/5344300,
,"Molex Ultra-Fit 172253, Contact for Female Housing, 20-22 AWG, 1 circuit",WM11561CT-ND,Contact Crimp Socket 20-22 AWG Tin,2,,0.28 ,digikey,http://www.digikey.com/product-detail/en/molex-llc/1722533123/WM11561CT-ND/5344302,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,Sum 113+,
