Qty,Value,Device,Package,Parts,Digikey Part
1,,Raspberry Pi 40-pin Connector,RPI_SMD,J1,S5690-ND
25,0.1u,SMD Capacitor,C1206,"C1, C3, C6, C7, C10, C12, C17, C20, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C37, C38, C39, C40, C41",399-1248-1-ND
6,0.22u,SMD Capacitor,C1206,"C4, C8, C11, C13, C14, C15",399-1252-1-ND
1,1000u,Polarized Capacitor,"E5-10,5",C16,P15144-ND
1,10V,Zener Diode,SOD123,D1,BZT52C10-FDICT-ND
23,10k,SMD Resistor,R1206,"R1, R3, R5, R7, R9, R11, R14, R16, R20, R21, R26, R27, R29, R30, R31, R37, R39, R40, R41, R43, R45, R46, R48",P10.0KFCT-ND
1,16MHz,SMD Crystal Oscillator,ABLS7M2,XTAL1,535-12830-1-ND
1,1M,SMD Resistor,R1206,R13,P1.00MFCT-ND
3,1k,SMD Resistor,R1206,"R2, R6, R10",P1.00KFCT-ND
3,1n,SMD Capacitor,C1206,"C2, C5, C9",399-8131-1-ND
2,1u,SMD Capacitor,C1206,"C21, C34",399-8148-1-ND
2,22,SMD Resistor,R1206,"R17, R18",P22.0FCT-ND
5,,Molex KK 3-pin PCB Male,22-23-2031,"HALL1, HALL2, HALL3, RCVR, SERVO",WM4201-ND
3,,Molex KK 4-pin PCB Male,22-23-2041,"ENCODER, IMU, XIO",WM4202-ND
2,220u,Polarized Capacitor,"E3,5-8","C35, C36",399-6113-ND
2,22p,SMD Capacitor,C1206,"C18, C19",399-1197-1-ND
8,267,SMD Resistor,R1206,"R15, R19, R22, R23, R24, R25, R28, R36",P267FCT-ND
1,33V,Zener Diode,SMA,D2,SMAZ33-FDICT-ND
1,47k,SMD Resistor,R1206,R38,P47.0KFCT-ND
3,510,SMD Resistor,R1206,"R4, R8, R12",P510FCT-ND
1,,SMD 2-DIP Switch,A6HF-2DIP,S2,SW1433-ND
1,,ATmega32U4 Microcontroller,TQFP44,U9,ATMEGA32U4-AU-ND
2,,BSS138BKS Dual N-MOSFET,SOT363,"U12, U13",1727-6478-1-ND
3,,BTN8982TA Half-Bridge Module,TO263-7,"U1, U2, U3",BTN8982TAAUMA1INCT-ND
1,,CAT24C32 EEPROM 32Kb,SOIC8,U4,CAT24C32WI-GT3CT-ND
1,,IPD90P03P4L-04 P-MOSFET,TO252-3-11,U8,IPD90P03P4L04ATMA1CT-ND
1,,150141M173100 RBG LED,150141M173100,LED,732-4998-1-ND
1,,MMDT5401 Dual PNP,SOT363,U6,MMDT5401-FDICT-ND
1,,PTR08060W Buck Power Module,EDP_MODULE,U7,296-22673-ND
1,,SI2333CDS-T1-GE3 P-MOSFET,SOT23-3,U11,SI2333CDS-T1-GE3CT-ND
2,,SN74LV4T125 Level Translator,TSSOP14,"U5, U10",296-40545-1-ND
1,,B3U Switch right-angle,B3F-312X,S1,SW407-ND
1,,Molex Ultra-Fit 2-pin PCB Male,ULTRAFIT_2CIRC_VERTCLIP,BATT,WM11701-ND
1,,Molex Ultra-Fit 3-pin PCB Male,ULTRAFIT_3CIRC_VERTCLIP,MOTOR,WM11702-ND
1,,USB Micro-B Receptacle,FCI-10103594-0001LF,USB,609-4050-1-ND
27,,Molex KK Contact Female,,,WM2623-ND
5,,Molex Ultra-Fit Contact 16-18AWG,,,WM11559CT-ND
0,,Molex Ultra-Fit Contact 20-22AWG,,,WM11561CT-ND
1,,Molex Ultra-Fit 2-pin Housing Female,,,WM11608-ND
1,,Molex Ultra-Fit 3-pin Housing Female,,,WM11609-ND
1,,Molex Ultra-Fit TPA 2-pin Female Housing,,,WM11653-ND
1,,Molex Ultra-Fit TPA 3-pin Female Housing,,,WM11661-ND
5,,Molex KK 3-pin Housing Female,,,WM2626-ND
3,,Molex KK 4-pin Housing Female,,,WM2614-ND
1,,Raspberry Pi 3 Model B,,,1690-1000-ND
3,,Hall Effect Sensors,TO-92UA,,US1881LUA-AAA-000-BU-ND
1,,IMU,,,1568-1424-ND
