"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"RPIHEADER_2.54-SMD";"RPI_SMD";"J1";"PIN HEADER";"";"";"";"";
"22";"0.1u";"C-USC1206";"C1206";"C1, C3, C6, C7, C10, C12, C17, C20, C22, C23, C24, C25, C26, C27, C28, C30, C31, C32, C33, C38, C39, C40";"CAPACITOR, American symbol";"";"";"";"";
"4";"0.51k";"R-US_R1206";"R1206";"R4, R8, R12, R15";"RESISTOR, American symbol";"";"";"";"";
"1";"1000u";"CPOL-USE5-10.5";"E5-10,5";"C16";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"1";"10V";"ZENER-DIODESOD80C";"SOD80C";"D1";"Z-Diode";"";"";"";"";
"12";"10k";"R-US_R1206";"R1206";"R1, R3, R5, R7, R9, R11, R14, R37, R39, R40, R41, R48";"RESISTOR, American symbol";"";"";"";"";
"1";"10u";"C-USC1206";"C1206";"C29";"CAPACITOR, American symbol";"";"";"";"";
"1";"16MHz";"CRYSTAL";"ABM3B";"XTAL1";"ABM3B Ceramic SMD Crystal";"";"";"";"";
"1";"1M";"R-US_R1206";"R1206";"R13";"RESISTOR, American symbol";"";"";"";"";
"3";"1k";"R-US_R1206";"R1206";"R2, R6, R10";"RESISTOR, American symbol";"";"";"";"";
"3";"1n";"C-USC1206";"C1206";"C2, C5, C9";"CAPACITOR, American symbol";"";"";"";"";
"3";"1u";"C-USC1206";"C1206";"C21, C34, C37";"CAPACITOR, American symbol";"";"";"";"";
"2";"22";"R-US_R1206";"R1206";"R17, R18";"RESISTOR, American symbol";"";"";"";"";
"4";"22-23-2031";"22-23-2031";"22-23-2031";"HALL1, HALL2, HALL3, SERVO";".100" (2.54mm) Center Header - 3 Pin";"MOLEX";"22-23-2031";"1462950";"30C0862";
"2";"22-23-2041";"22-23-2041";"22-23-2041";"ENCODER, IMU";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"6";"220n";"C-USC1206";"C1206";"C4, C8, C11, C13, C14, C15";"CAPACITOR, American symbol";"";"";"";"";
"2";"220u";"CPOL-USE3.5-8";"E3,5-8";"C35, C36";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"2";"22p";"C-USC1206";"C1206";"C18, C19";"CAPACITOR, American symbol";"";"";"";"";
"1";"267";"R-US_R1206";"R1206";"R36";"RESISTOR, American symbol";"";"";"";"";
"9";"3.9k";"R-US_R1206";"R1206";"R16, R26, R27, R30, R31, R43, R44, R45, R46";"RESISTOR, American symbol";"";"";"";"";
"1";"33V";"SMAZX";"SMA";"D2";"SMAZxx Zener Diode";"";"";"";"";
"1";"47k";"R-US_R1206";"R1206";"R38";"RESISTOR, American symbol";"";"";"";"";
"1";"A6HF-2DIP";"A6HF-2DIP";"A6HF";"S2";"2 Port Slide DIP Switch";"";"";"";"";
"1";"ADG3304";"ADG3304";"TSSOP14";"U5";"ADG3304 Analog Devices Bidirectional Voltage Level Translator";"";"";"";"";
"1";"ATMEGA32U4";"ATMEGA32U4";"TQFP44";"U9";"ATMEL Mega 32U4 Microcontroller";"";"";"";"";
"1";"B3U-3000P-B";"B3U-3000P-B";"B3U-3000P-B";"S1";"B3U Ultra-small Switch, side actuated, with boss";"";"";"";"";
"2";"BSS138BKS";"BSS138BKS";"SOT363";"U10, U12";"BSS138BKS Dual N-MOSFET";"";"";"";"";
"3";"BTN8982TA";"BTN8982TA";"TO263-7";"U1, U2, U3";"BTN8982TA High Current PN Half Bridge";"";"";"";"";
"1";"CAT24C32WI-GT3";"CAT24C32WI-GT3";"SOIC8";"U4";"CAT24C32 32Kb EEPROM, SOIC-8 package";"";"";"";"";
"1";"DMG2305UX";"DMG2305UX";"SOT23-3";"U11";"DMG2305 P-Channel MOSFET";"";"";"";"";
"1";"IPD90P03P4L-04";"IPD90P03P4L-04";"TO252-3-11";"U8";"IPD90P03P4L-04 P-Channel MOSFET";"";"";"";"";
"1";"MMDT5401";"MMDT5401";"SOT363";"U6";"Dual PNP Small Signal Transistor";"";"";"";"";
"4";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";
"1";"MSL0201RGB";"MSL0201RGB";"MSL0201RGB";"LED1";"MSL0201RGB Right Angle SMD RGB LED";"";"";"";"";
"1";"PTR08060W";"PTR08060W";"EDP_MODULE";"U7";"PTR08060W Texas Instruments Buck Power Module";"";"";"";"";
"1";"ULTRAFIT_2CIRCVCLIP";"ULTRAFIT_2CIRCVCLIP";"ULTRAFIT_2CIRC_VERTCLIP";"BATT";"Molex Ultra-Fit, 3.50mm Pitch, Single Row, 2 Circuits";"";"";"";"";
"1";"ULTRAFIT_3CIRCVCLIP";"ULTRAFIT_3CIRCVCLIP";"ULTRAFIT_3CIRC_VERTCLIP";"MOTOR";"Molex Ultra-Fit, 3.50mm Pitch, Single Row, 3 Circuits";"";"";"";"";
"1";"USB-MICROB";"USB-MICROB";"FCI-10103594-0001LF";"J2";"USB Receptable";"";"";"";"";
